comum_id;par_impar_id;par_impar_comum_id
1;1;1
2;1;3
3;1;6
4;1;10
5;2;2
6;2;3
7;2;5
8;2;9
9;2;14
10;3;1
11;3;2
12;3;3
13;3;6
14;3;10
15;4;4
16;4;5
17;4;6
18;4;8
19;4;13
20;4;18
21;5;2
22;5;4
23;5;5
24;5;6
25;5;9
26;5;14
27;6;1
28;6;3
29;6;4
30;6;5
31;6;6
32;6;10
33;7;7
34;7;8
35;7;9
36;7;10
37;7;12
38;7;17
39;7;22
40;8;4
41;8;7
42;8;8
43;8;9
44;8;10
45;8;13
46;8;18
47;9;2
48;9;5
49;9;7
50;9;8
51;9;9
52;9;10
53;9;14
54;10;1
55;10;3
56;10;6
57;10;7
58;10;8
59;10;9
60;10;10
61;11;11
62;11;12
63;11;13
64;11;14
65;11;16
66;11;21
67;11;26
68;12;7
69;12;11
70;12;12
71;12;13
72;12;14
73;12;17
74;12;22
75;13;4
76;13;8
77;13;11
78;13;12
79;13;13
80;13;14
81;13;18
82;14;2
83;14;5
84;14;9
85;14;11
86;14;12
87;14;13
88;14;14
89;15;15
90;15;16
91;15;17
92;15;18
93;15;20
94;15;25
95;15;30
96;16;11
97;16;15
98;16;16
99;16;17
100;16;18
101;16;21
102;16;26
103;17;7
104;17;12
105;17;15
106;17;16
107;17;17
108;17;18
109;17;22
110;18;4
111;18;8
112;18;13
113;18;15
114;18;16
115;18;17
116;18;18
117;19;19
118;19;20
119;19;21
120;19;22
121;19;24
122;19;29
123;19;34
124;20;15
125;20;19
126;20;20
127;20;21
128;20;22
129;20;25
130;20;30
131;21;11
132;21;16
133;21;19
134;21;20
135;21;21
136;21;22
137;21;26
138;22;7
139;22;12
140;22;17
141;22;19
142;22;20
143;22;21
144;22;22
145;23;23
146;23;24
147;23;25
148;23;26
149;23;28
150;23;33
151;23;38
152;24;19
153;24;23
154;24;24
155;24;25
156;24;26
157;24;29
158;24;34
159;25;15
160;25;20
161;25;23
162;25;24
163;25;25
164;25;26
165;25;30
166;26;11
167;26;16
168;26;21
169;26;23
170;26;24
171;26;25
172;26;26
173;27;27
174;27;28
175;27;29
176;27;30
177;27;32
178;27;37
179;28;23
180;28;27
181;28;28
182;28;29
183;28;30
184;28;33
185;28;38
186;29;19
187;29;24
188;29;27
189;29;28
190;29;29
191;29;30
192;29;34
193;30;15
194;30;20
195;30;25
196;30;27
197;30;28
198;30;29
199;30;30
200;31;31
201;31;32
202;31;33
203;31;34
204;31;36
205;32;27
206;32;31
207;32;32
208;32;33
209;32;34
210;32;37
211;33;23
212;33;28
213;33;31
214;33;32
215;33;33
216;33;34
217;33;38
218;34;19
219;34;24
220;34;29
221;34;31
222;34;32
223;34;33
224;34;34
225;35;35
226;35;36
227;35;37
228;35;38
229;36;31
230;36;35
231;36;36
232;36;37
233;36;38
234;37;27
235;37;32
236;37;35
237;37;36
238;37;37
239;37;38
240;38;23
241;38;28
242;38;33
243;38;35
244;38;36
245;38;37
246;38;38
